department,full_name,company_name,email,phone_number,number_of_apartements,number_of_floors,number_of_basements,number_of_parking,number_of_stores,max_occupancy_per_floor,hours_of_activity ,service_level,number_of_elevators,installation_cost,total_cost
Hybrid,Hill Astupenas,JumpXS,hastupenaslm@ebay.com,618-743-2882,33,8,6,613,5,68,9,Excelium,11,$13463.70,$978996.50
Hybrid,Meghan Marvin,Thoughtstorm,mmarvinlt@wikipedia.org,596-426-1952,255,26,7,189,5,192,23,Premium,13,$14029.11,$2322714.35
Hybrid,Ardis Andersen,Nlounge,aandersenm0@ask.com,281-731-1593,49,42,5,522,9,93,11,Excelium,25,$10284.47,$892993.22
Hybrid,Gayelord Garnall,Flashspan,ggarnallm2@virginia.edu,288-464-1490,207,74,3,140,19,298,20,Standard,28,$14765.49,$253045.99
Hybrid,Anastassia Latham,Fivechat,alathamm5@over-blog.com,127-495-3313,214,90,9,372,18,182,19,Premium,23,$13550.65,$562731.83
Hybrid,Shell Taggert,Vitz,staggertm7@canalblog.com,538-960-9805,258,49,3,759,12,194,12,Premium,22,$16057.58,$2122934.90
Corporate,Lionello Congdon,Muxo,lcongdon1@ted.com,704-998-8316,123,92,8,957,6,170,,Premium,4,$16121.25,$1022504.69
Corporate,Halli Morgen,Feedbug,hmorgen2@hao123.com,453-387-8007,146,31,4,675,20,79,,Excelium,26,$15894.92,$1539452.76
Corporate,Alexandros Georgeou,Oyoba,ageorgeou4@g.co,754-320-4446,20,97,3,877,15,193,,Excelium,5,$7316.31,$2112851.12
Corporate,Pierson Philipeau,Eidel,pphilipeau6@goo.ne.jp,634-961-7889,137,28,6,644,16,33,,Excelium,13,$7040.12,$1918557.30
Corporate,Lavena McCullouch,Thoughtstorm,lmccullouchb@163.com,913-615-6241,344,44,3,218,13,242,,Standard,29,$16386.15,$444996.03
Corporate,Maxi Feander,Kanoodle,mfeanderh@state.gov,947-623-4154,95,12,7,736,20,198,,Standard,13,$11407.62,$883635.45
Corporate,Jerrie Naseby,Skilith,jnasebym@noaa.gov,103-122-5486,235,98,3,720,8,93,,Excelium,27,$12460.23,$210350.43
Corporate,Adiana Licence,Twitterwire,alicencer@msu.edu,432-786-3939,389,26,2,170,16,69,,Standard,1,$8528.69,$921369.67
Corporate,Mellicent Lawday,Voonder,mlawdays@springer.com,777-124-6567,353,93,6,973,15,100,,Excelium,19,$17188.11,$1365342.50
Corporate,Tallulah Fidgin,Quimm,tfidginw@cmu.edu,645-390-8311,278,64,1,823,6,278,,Premium,11,$14737.79,$1568536.85
Corporate,Jerri Tinniswood,Gabtype,jtinniswood12@msu.edu,576-543-5309,276,72,10,276,7,124,,Premium,10,$7399.24,$1618532.45
Corporate,Rosa Fidian,Podcat,rfidian15@gnu.org,957-913-9119,330,39,8,860,6,141,,Standard,24,$12643.18,$1776782.57
Corporate,Josephine Boldison,Camimbo,jboldison18@example.com,856-538-2094,93,52,10,835,10,71,,Standard,6,$7012.59,$246617.85
Corporate,Eartha Twiggins,Quatz,etwiggins1a@omniture.com,367-368-7640,290,37,10,103,13,177,,Standard,15,$8625.44,$166142.72
Corporate,Zack Fish,Lazz,zfish1c@marriott.com,843-770-6257,245,40,8,980,17,100,,Excelium,17,$10750.52,$1877200.93
Corporate,Clarine Savell,Devbug,csavell1d@comsenz.com,164-357-7466,166,34,9,182,20,218,,Standard,14,$10332.21,$2224179.90
Corporate,Evania Card,Gigazoom,ecard1g@oracle.com,612-542-7249,153,7,5,795,7,108,,Standard,2,$15753.15,$1142768.35
Corporate,Fred Antal,Ainyx,fantal1i@w3.org,897-990-7604,192,99,3,457,10,127,,Premium,6,$11188.46,$765599.77
Corporate,Perri Norvel,Fivechat,pnorvel1l@multiply.com,103-468-7760,400,94,1,850,11,258,,Premium,2,$16856.70,$435026.26
Corporate,Murray Limbourne,Tagopia,mlimbourne1s@cbc.ca,241-862-9719,116,41,6,884,7,207,,Excelium,14,$10851.48,$818613.95
Corporate,Cyndie Peaurt,Aimbo,cpeaurt1t@nhs.uk,958-189-2494,306,96,1,531,14,148,,Excelium,30,$8121.19,$717939.75
Corporate,Sukey Vango,Quinu,svango1y@patch.com,544-635-2969,153,42,2,697,19,206,,Excelium,29,$16551.44,$2132000.40
Corporate,Tandie Gladyer,Flipstorm,tgladyer1z@yolasite.com,727-316-4562,28,52,5,410,18,267,,Premium,6,$9103.47,$79378.76
Corporate,Gertrud Duetsche,Devpulse,gduetsche20@google.co.uk,942-351-3729,24,49,8,221,7,84,,Premium,17,$11888.67,$468354.58
Corporate,Prue Di Matteo,Jabbersphere,pdi21@forbes.com,175-780-5706,247,33,3,554,6,160,,Standard,29,$17672.80,$2102947.56
Corporate,Saul Tissiman,Meembee,stissiman22@blogger.com,682-319-4302,149,58,7,921,13,66,,Standard,1,$17428.49,$678931.45
Corporate,Ivy Wombwell,Photospace,iwombwell25@latimes.com,521-833-4999,217,89,2,643,16,182,,Premium,23,$9217.73,$583563.87
Corporate,Chastity Cunnell,Kazu,ccunnell29@zdnet.com,223-381-6039,164,12,1,571,19,216,,Premium,23,$11610.30,$1191170.10
Corporate,Vivyan Dowdell,Dabfeed,vdowdell2a@arizona.edu,131-954-1499,359,12,6,583,20,278,,Excelium,12,$11026.05,$1394506.25
Corporate,Coraline Murley,Bluezoom,cmurley2d@japanpost.jp,638-222-7521,53,19,3,993,10,259,,Excelium,17,$17634.89,$1473550.97
Corporate,Rochell O'Corr,Edgewire,rocorr2j@nyu.edu,293-267-5050,287,41,3,623,20,116,,Premium,24,$11966.76,$2173102.09
Corporate,Analiese McKag,Abata,amckag2k@twitpic.com,729-211-9163,232,77,3,381,6,51,,Premium,15,$14190.89,$1950043.77
Corporate,Maddie Blofeld,Gabtype,mblofeld2s@bbc.co.uk,372-797-4995,301,55,8,700,19,219,,Excelium,27,$8784.08,$71523.72
Corporate,Zsazsa Filshin,Skippad,zfilshin2u@gov.uk,302-279-9919,32,88,5,518,12,219,,Premium,8,$13303.42,$1022670.16
Corporate,Ava Burkinshaw,Voolith,aburkinshaw2z@webnode.com,829-806-8862,30,4,9,865,19,103,,Premium,1,$16947.39,$1963020.68
Corporate,Adrianne Iacivelli,Meevee,aiacivelli38@creativecommons.org,617-965-5087,120,19,7,494,16,230,,Premium,10,$14051.06,$2208065.65
Corporate,Malinde Crossdale,Aimbu,mcrossdale3b@surveymonkey.com,480-245-7404,396,70,6,870,17,173,,Standard,9,$13142.49,$848506.88
Corporate,Katie Roseburgh,Feedfish,kroseburgh3g@spiegel.de,725-471-8201,362,29,9,835,8,153,,Standard,5,$10393.61,$683212.01
Corporate,Dusty Melpuss,Trupe,dmelpuss3m@examiner.com,362-667-6691,195,89,1,650,15,44,,Premium,18,$16192.20,$1849206.51
Corporate,Morena Le Pine,Ailane,mle3w@adobe.com,332-957-3240,333,67,5,963,14,220,,Excelium,23,$8049.14,$1269125.23
Corporate,Julissa O'Hegertie,Edgewire,johegertie3x@digg.com,588-608-8196,357,51,7,673,13,189,,Premium,13,$7879.02,$1703162.40
Corporate,Barrett Shalcras,Browsezoom,bshalcras3y@blogspot.com,934-332-5843,323,54,5,536,9,81,,Premium,16,$13766.20,$807373.82
Corporate,Eustace Yielding,Geba,eyielding43@mlb.com,478-891-3982,395,5,8,571,11,242,,Excelium,11,$9728.83,$1672902.10
Corporate,Zorana Leamon,Oloo,zleamon46@who.int,371-893-5699,116,35,10,983,8,219,,Excelium,19,$13173.25,$1004441.81
Corporate,Isaiah Bazire,Jatri,ibazire48@lycos.com,639-254-4232,62,13,1,166,8,261,,Standard,27,$15655.72,$394988.44
Corporate,Shirleen Karlsen,Quire,skarlsen4b@amazonaws.com,401-793-3149,194,57,10,631,9,186,,Premium,22,$12814.68,$915911.87
Corporate,Dacie Mcwhinnie,Skalith,dmcwhinnie4c@economist.com,550-134-2727,307,87,1,658,10,262,,Excelium,26,$15791.47,$2130503.39
Corporate,Ken Orthmann,Blognation,korthmann4d@hp.com,328-292-2747,385,54,10,183,13,173,,Standard,29,$10790.43,$1565618.45
Corporate,Dagmar Pagitt,Jabberstorm,dpagitt4g@howstuffworks.com,649-594-6113,192,51,9,760,11,262,,Premium,10,$8005.63,$156785.96
Corporate,Joelynn Thurber,Devify,jthurber4i@google.com.hk,111-295-9153,306,73,2,433,19,218,,Premium,28,$17674.48,$1176524.41
Corporate,Rhianna Aliberti,Edgeclub,raliberti4j@forbes.com,520-577-3463,249,11,9,107,16,191,,Excelium,10,$8234.28,$2203245.35
Corporate,Ginelle Sanchiz,Rhycero,gsanchiz4n@cornell.edu,261-318-4422,158,21,8,662,20,74,,Premium,11,$16535.13,$517400.73
Corporate,Sharline Gerbl,Voomm,sgerbl4p@salon.com,865-557-8510,110,88,2,831,19,163,,Premium,5,$17374.98,$1520890.01
Corporate,Melita Giddins,Fliptune,mgiddins4r@about.com,928-653-2043,355,38,2,489,13,289,,Excelium,2,$17450.42,$1067260.99
Corporate,Rhianon Preskett,Yakidoo,rpreskett4u@guardian.co.uk,966-971-8647,44,86,9,28,5,174,,Premium,14,$17747.54,$681851.79
Corporate,Susi Kender,Eabox,skender50@barnesandnoble.com,987-438-6076,41,56,2,314,10,200,,Premium,9,$10823.88,$1854403.14
Corporate,Aristotle Carlill,Wikido,acarlill53@army.mil,401-841-6732,318,41,8,742,9,99,,Excelium,20,$11265.33,$764871.73
Corporate,Rachele Castagnasso,Devcast,rcastagnasso59@deliciousdays.com,968-127-7990,164,81,2,969,5,167,,Standard,3,$15814.54,$1889942.13
Corporate,Ennis Enstone,Brainlounge,eenstone5a@yahoo.co.jp,517-500-7398,279,8,9,24,5,193,,Excelium,30,$7923.90,$1417294.16
Corporate,Frederik Metherell,Avamba,fmetherell5b@adobe.com,474-378-1807,168,38,4,778,9,157,,Excelium,9,$11477.24,$470327.35
Corporate,Roarke Hauxley,Jaxspan,rhauxley5c@weibo.com,297-998-7493,22,24,1,250,10,73,,Standard,17,$15009.04,$1972762.97
Corporate,Pierette McCulley,Twitterbridge,pmcculley5e@de.vu,252-567-0213,32,35,2,320,9,228,,Standard,8,$16290.73,$1861793.50
Corporate,Nathanial Twelvetree,Linkbridge,ntwelvetree5f@howstuffworks.com,664-244-1040,24,82,3,408,20,75,,Premium,26,$15320.97,$1911525.32
Corporate,Mikkel Congrave,Youbridge,mcongrave5k@fastcompany.com,712-775-3635,76,78,9,728,10,241,,Standard,14,$9378.98,$1379204.55
Corporate,Glynda Pyrah,Twitterworks,gpyrah5m@epa.gov,244-645-3645,31,10,5,922,5,133,,Premium,21,$8994.12,$231279.39
Corporate,Bibi Greenhill,Skiptube,bgreenhill5u@g.co,163-432-2907,47,16,2,17,20,277,,Standard,18,$16986.56,$1072554.53
Corporate,Gilli Dougill,Tazz,gdougill62@nationalgeographic.com,382-959-7983,245,30,4,955,14,187,,Standard,9,$15655.42,$668460.67
Corporate,Pammi Burgett,Divape,pburgett63@examiner.com,484-379-1815,90,35,9,964,6,264,,Standard,26,$14783.81,$1868546.32
Corporate,Lisabeth Gatman,Bluezoom,lgatman67@yelp.com,253-372-3565,305,34,3,198,14,104,,Standard,2,$7718.48,$1667144.33
Corporate,Violette Pibsworth,Zazio,vpibsworth68@tripadvisor.com,556-205-1772,69,84,8,200,18,107,,Premium,1,$17030.62,$1236424.02
Corporate,Abelard Durling,Feedfish,adurling69@arizona.edu,737-849-5070,203,36,8,611,10,259,,Standard,14,$12874.15,$1782852.31
Corporate,Zedekiah Mitchard,Skibox,zmitchard6b@google.it,266-780-2459,73,66,3,863,19,50,,Standard,14,$17604.11,$2182139.92
Corporate,Sibyl Raynham,Buzzster,sraynham6n@scientificamerican.com,974-978-5945,82,70,10,254,10,167,,Excelium,10,$16765.68,$1143239.85
Corporate,Andrea Kelle,Eayo,akelle6p@wunderground.com,353-132-0921,397,35,5,260,17,177,,Premium,16,$16774.55,$308551.19
Corporate,Alexandrina Edgell,Thoughtstorm,aedgell6x@vistaprint.com,461-796-9612,388,73,3,31,19,256,,Excelium,29,$11377.54,$1939484.71
Corporate,Thornie Kesby,Tazz,tkesby71@lycos.com,677-947-2356,392,17,5,315,10,109,,Premium,20,$12928.89,$1394159.14
Corporate,Persis Mease,Jaxbean,pmease73@ucla.edu,758-528-3317,348,70,8,579,15,204,,Standard,11,$13357.71,$2042280.22
Corporate,Melina Stiff,Yakitri,mstiff77@soundcloud.com,280-714-4871,311,6,1,35,7,299,,Excelium,19,$10431.41,$772989.61
Corporate,Becka Tungate,Zoomcast,btungate78@squarespace.com,382-889-7953,383,98,2,368,8,170,,Standard,2,$14305.68,$158619.88
Corporate,Vilhelmina Jealous,Quamba,vjealous7a@deviantart.com,279-938-4066,150,68,4,132,9,272,,Standard,10,$9759.38,$1710544.21
Corporate,Maud Braidley,Brainlounge,mbraidley7b@umn.edu,689-196-2374,97,45,2,987,9,30,,Premium,19,$7164.97,$1316886.95
Corporate,Adler Matic,Blogpad,amatic7j@google.com.br,399-980-1100,193,38,9,578,9,205,,Standard,30,$11265.01,$332273.00
Corporate,Francklyn Lambal,Layo,flambal7n@ow.ly,969-525-4341,36,26,7,84,19,87,,Premium,26,$16163.80,$1996390.54
Corporate,Harlin Watmough,Digitube,hwatmough7r@abc.net.au,147-353-8748,334,45,3,481,11,293,,Standard,11,$11103.12,$1077272.77
Corporate,Tabbie Ivantyev,Gigaclub,tivantyev7t@lycos.com,783-925-0182,95,96,7,662,11,131,,Standard,23,$15038.09,$919811.89
Corporate,Dwain Potell,Oozz,dpotell7z@163.com,818-422-4439,118,12,5,900,6,148,,Standard,12,$15473.14,$1274757.06
Corporate,Purcell Baude,Npath,pbaude82@surveymonkey.com,860-101-6709,55,48,10,896,14,243,,Standard,1,$7947.28,$1727631.60
Corporate,Rutter Downgate,Zazio,rdowngate85@posterous.com,663-677-0709,225,49,1,671,17,188,,Premium,25,$7401.00,$1159859.31
Corporate,Clerissa Flancinbaum,Linktype,cflancinbaum87@zimbio.com,624-415-2412,81,92,4,967,18,255,,Standard,1,$13107.88,$2014525.63
Corporate,Darcy Bartkiewicz,Mymm,dbartkiewicz88@answers.com,327-637-5627,234,36,10,484,12,201,,Premium,28,$17179.33,$675158.47
Corporate,Kerwin Croutear,Latz,kcroutear8d@flickr.com,870-447-2843,256,62,2,128,9,86,,Standard,6,$15203.43,$1549217.75
Corporate,Gabbi Kiddle,Dabtype,gkiddle8f@163.com,563-553-8255,30,39,7,218,10,283,,Premium,5,$14227.53,$2128154.61
Corporate,Arda Hearsey,Lazzy,ahearsey8g@fema.gov,333-157-3606,345,85,10,562,14,143,,Premium,16,$10968.97,$2330410.68
Corporate,Amberly Caddock,Dabtype,acaddock8i@newsvine.com,443-570-2261,337,44,1,27,16,205,,Premium,22,$8181.51,$422083.24
Corporate,Augy Assel,Trilia,aassel8l@hugedomains.com,691-188-3484,219,63,2,124,19,94,,Standard,10,$14883.67,$1363122.58
Corporate,Hervey Rowter,Rhycero,hrowter8m@clickbank.net,816-823-6740,274,32,3,435,8,140,,Excelium,6,$14809.26,$1078260.86
Corporate,Justina Howle,Blogtags,jhowle8u@quantcast.com,104-402-0054,158,51,10,409,7,266,,Excelium,16,$15173.80,$94592.16
Corporate,Kerrill Pankhurst.,Zoonder,kpankhurst8z@umn.edu,370-891-6811,353,65,5,437,13,240,,Standard,21,$11454.30,$1627822.50
Corporate,Erik O' Driscoll,Skimia,eo93@studiopress.com,840-337-1765,311,7,5,399,10,143,,Standard,10,$10504.12,$1517250.50
Corporate,Viviana Hargess,Skimia,vhargess95@hugedomains.com,697-310-7845,138,11,3,256,16,69,,Standard,4,$10012.56,$367362.74
Corporate,Isaiah Lestrange,Trilith,ilestrange98@meetup.com,528-165-2679,39,61,5,535,10,118,,Standard,2,$13305.71,$1519023.53
Corporate,Louis Yerborn,Rhyzio,lyerborn9b@about.me,981-130-4159,205,15,4,542,8,244,,Excelium,27,$17029.11,$1715204.58
Corporate,Kahlil Harnott,Wordpedia,kharnott9e@amazonaws.com,922-312-8128,64,33,10,446,19,136,,Premium,23,$9360.53,$2128238.31
Corporate,Elvira Gurnay,Dabvine,egurnay9f@wix.com,128-836-8952,138,61,10,926,19,84,,Standard,11,$14627.23,$1157879.72
Corporate,Cristobal Cunradi,Tagchat,ccunradi9k@nba.com,661-336-5891,63,56,1,544,9,179,,Standard,24,$14052.32,$2187362.34
Corporate,Francyne Haggerstone,Trudoo,fhaggerstone9l@mit.edu,535-714-6350,151,20,3,51,11,126,,Standard,10,$8594.20,$1991050.01
Corporate,Catriona Housegoe,Eayo,chousegoe9q@goo.gl,722-363-9429,218,99,5,250,9,37,,Excelium,14,$17368.24,$1770630.23
Corporate,Oralia Garforth,Camimbo,ogarforth9u@google.nl,579-640-3115,269,74,1,756,13,71,,Standard,6,$9001.32,$1345885.89
Corporate,Ynes Silburn,Skippad,ysilburn9z@comsenz.com,644-962-3516,204,22,6,363,5,40,,Premium,15,$7683.85,$283642.32
Corporate,Charlie Tanguy,Camimbo,ctanguyaa@clickbank.net,146-464-6135,91,36,10,482,5,142,,Premium,20,$14977.97,$843423.54
Corporate,Tadeas Fuidge,Quimba,tfuidgeab@uol.com.br,359-657-8566,42,43,9,352,17,242,,Premium,26,$8242.06,$835410.92
Corporate,Calla Smitheman,Oloo,csmithemanaw@microsoft.com,191-797-8403,285,41,7,892,17,200,,Premium,28,$16796.06,$647469.55
Corporate,Pacorro Carlet,Blognation,pcarletaz@biglobe.ne.jp,554-853-1839,195,51,9,158,5,72,,Premium,21,$11133.93,$1710448.56
Corporate,Jan Chadd,Topiclounge,jchaddb1@oaic.gov.au,197-936-0256,255,59,3,599,18,70,,Premium,1,$7977.90,$1379845.15
Corporate,Kirk Sweetland,Kwimbee,ksweetlandb5@microsoft.com,352-982-8430,279,49,9,826,20,62,,Premium,18,$12758.11,$551897.72
Corporate,Gilles Panton,Skajo,gpantonbd@theglobeandmail.com,611-642-6609,243,60,3,340,8,57,,Excelium,10,$7764.95,$754260.90
Corporate,Lana Croxon,Trilith,lcroxonbe@nba.com,762-500-5809,166,25,2,694,19,205,,Standard,17,$14679.66,$1776546.65
Corporate,Wells Deely,Yodoo,wdeelybf@ucla.edu,119-544-1152,32,63,9,539,14,239,,Standard,26,$11512.33,$2327364.26
Corporate,Clemmie Turfrey,Wordify,cturfreybh@engadget.com,341-267-2902,207,40,9,802,11,194,,Standard,2,$8788.25,$1374635.05
Corporate,Araldo Seedull,Tanoodle,aseedullbm@wordpress.com,771-784-4553,177,56,5,266,17,294,,Premium,3,$7542.45,$2015886.15
Corporate,Callean Kybird,Dabshots,ckybirdbn@reference.com,827-405-6905,59,25,2,768,11,108,,Excelium,16,$12417.58,$1253471.51
Corporate,Isac Fakeley,Demimbu,ifakeleybp@devhub.com,777-396-8961,385,66,10,811,17,169,,Excelium,1,$15739.03,$953571.22
Corporate,Bobette Lomasna,Skilith,blomasnabt@netscape.com,649-133-0155,191,39,3,768,16,71,,Excelium,23,$12398.89,$454082.70
Corporate,Erin Minshaw,Zooveo,eminshawby@lulu.com,357-466-0751,234,47,10,696,8,234,,Standard,24,$10540.22,$829153.85
Corporate,Fredericka Hasnip,Wordify,fhasnipbz@dion.ne.jp,508-119-8288,373,90,2,255,18,168,,Premium,6,$12694.59,$1558902.61
Corporate,Valeda Fanthom,Mynte,vfanthomc3@facebook.com,349-949-9930,280,23,9,600,10,219,,Standard,26,$12299.16,$1581680.97
Corporate,Cad Harwood,Mita,charwoodc4@friendfeed.com,460-946-6353,299,40,8,440,12,235,,Premium,21,$14570.55,$1323014.87
Corporate,Jojo Aughton,Topiczoom,jaughtonca@cpanel.net,578-843-1618,137,98,3,144,19,50,,Premium,29,$14252.56,$883331.82
Corporate,Vergil Sirey,Ozu,vsireycc@shutterfly.com,978-631-1591,163,35,3,966,8,236,,Excelium,15,$8475.28,$1700730.31
Corporate,Dacy Sibbald,Miboo,dsibbaldcd@issuu.com,482-186-9906,316,99,4,15,5,181,,Standard,14,$9497.69,$1644141.91
Corporate,Glory De Brett,Leexo,gdecg@discovery.com,397-690-1018,290,10,3,839,16,148,,Standard,27,$10475.00,$12233.41
Corporate,Dillon Davenall,Meejo,ddavenallcm@dyndns.org,360-838-9354,360,50,8,539,14,157,,Standard,6,$14425.66,$326757.68
Corporate,Herta Splevins,Browsecat,hsplevinsco@engadget.com,704-215-9958,326,81,3,966,13,272,,Standard,13,$11653.71,$318545.92
Corporate,Gaultiero Gladdish,Topicware,ggladdishcu@aol.com,334-600-5336,130,38,7,217,11,152,,Excelium,17,$13031.32,$59108.65
Corporate,Row Dunkerton,Jaxbean,rdunkertoncv@over-blog.com,202-750-0375,57,88,5,518,20,69,,Excelium,10,$10382.23,$1233855.80
Corporate,Godwin Tritton,Thoughtblab,gtrittoncy@mtv.com,407-588-9991,155,38,6,575,12,148,,Premium,27,$13467.27,$951362.45
Corporate,Phoebe Blatchford,Miboo,pblatchfordd7@timesonline.co.uk,417-137-7982,252,28,7,121,14,190,,Premium,10,$12076.35,$1858798.79
Corporate,Stefano Lascelles,Thoughtblab,slascellesdh@webmd.com,675-901-6057,331,25,5,545,19,51,,Premium,10,$12115.64,$686546.63
Corporate,Bennett Sexon,Yotz,bsexondj@cnet.com,149-572-2726,153,58,8,42,16,236,,Standard,7,$16249.81,$1935770.67
Corporate,Lorrie Cattemull,Zoomzone,lcattemulldl@a8.net,484-409-4137,246,22,4,62,9,222,,Standard,7,$17890.84,$341791.57
Corporate,Chaddy Rollins,Riffpath,crollinsdr@apache.org,774-838-9383,186,81,6,608,9,250,,Excelium,25,$17227.89,$1483603.45
Corporate,Sara-ann Tunuy,Feedmix,stunuyds@edublogs.org,781-914-8599,257,82,4,901,11,210,,Premium,29,$13360.20,$936215.27
Corporate,Ree Janjic,Lajo,rjanjicdt@stanford.edu,210-882-8612,165,3,5,954,6,37,,Excelium,11,$11762.31,$1520235.77
Corporate,Natty Matuszyk,Feedmix,nmatuszyke2@hao123.com,289-210-4700,37,48,8,37,19,154,,Premium,9,$14496.66,$1874605.09
Corporate,Sol Denman,Tavu,sdenmaneb@google.nl,763-704-4753,222,58,9,422,12,200,,Excelium,25,$13403.27,$559067.56
Corporate,Peta Liddiatt,Zoovu,pliddiattee@ebay.com,530-553-3652,104,62,7,183,5,183,,Premium,19,$15625.78,$530211.04
Corporate,Annadiana Soule,Avamba,asouleeo@delicious.com,663-803-0207,231,62,6,804,10,265,,Premium,19,$15027.56,$1747266.27
Corporate,Pauly Dael,Divanoodle,pdaeleq@hud.gov,210-959-1495,52,74,2,528,8,193,,Premium,21,$10011.71,$1239372.06
Corporate,Lucho Hulance,Cogibox,lhulancees@miibeian.gov.cn,478-149-5175,268,13,1,228,15,260,,Standard,16,$17069.86,$800307.52
Corporate,Flor Motten,Myworks,fmottenet@dailymotion.com,374-582-2298,162,99,1,918,13,154,,Premium,14,$17445.36,$1052718.64
Corporate,Gina Dri,Gabspot,gdriev@yellowbook.com,967-795-2138,235,35,10,177,16,170,,Excelium,30,$12555.23,$2124856.79
Corporate,Tedi Briggdale,Tagpad,tbriggdalef6@sciencedirect.com,254-776-6543,261,56,2,817,11,188,,Standard,20,$7873.85,$230410.07
Corporate,Christen Degoey,Zoonder,cdegoeyf7@pbs.org,292-798-1269,147,90,3,344,18,35,,Premium,3,$10485.36,$1343191.49
Corporate,Lorna Wyndham,Latz,lwyndhamfe@xrea.com,491-744-4946,84,22,4,270,20,60,,Excelium,3,$9805.82,$2284365.88
Corporate,Jean Boays,Fivebridge,jboaysfk@imgur.com,709-690-8376,171,39,3,714,9,137,,Premium,30,$13805.57,$1864609.47
Corporate,Reider Von Helmholtz,Youtags,rvonfl@google.co.uk,533-721-5214,180,85,5,451,17,80,,Excelium,3,$15053.72,$1719149.84
Corporate,Ruttger Heddan,Zoonoodle,rheddanfm@loc.gov,597-990-5142,119,27,4,488,13,167,,Premium,25,$13691.81,$1035881.95
Corporate,Ermanno Wardhaw,Rhybox,ewardhawfs@wufoo.com,446-816-3632,37,90,10,593,15,87,,Standard,2,$16405.38,$2299078.39
Corporate,Liza Walisiak,Yambee,lwalisiakgb@oracle.com,933-462-1254,26,3,1,196,12,211,,Premium,22,$11578.88,$537986.56
Corporate,Lettie McEntee,Avamba,lmcenteegc@telegraph.co.uk,718-903-5172,185,29,2,228,6,120,,Premium,7,$10532.75,$977954.48
Corporate,Leesa O'Duggan,Centimia,loduggange@wix.com,613-800-1287,99,11,3,823,12,166,,Standard,13,$14300.53,$1332267.16
Corporate,Guilbert Danter,Youfeed,gdantergh@hibu.com,609-331-4151,147,77,8,1000,10,69,,Premium,29,$15171.40,$1057012.60
Corporate,Vern Monnery,Kwideo,vmonnerygi@yelp.com,158-181-7396,72,76,2,206,12,223,,Standard,13,$13234.44,$1773190.75
Corporate,Adrianna Puller,Divape,apullergl@pagesperso-orange.fr,763-565-3065,221,15,6,114,7,174,,Standard,22,$17612.63,$1023845.38
Corporate,Emmott Zelner,Oyondu,ezelnergm@sogou.com,682-869-9201,252,53,7,923,20,144,,Premium,30,$16441.03,$2300405.90
Corporate,Andrej Jillard,Cogidoo,ajillardgo@webs.com,247-720-3469,26,32,4,477,12,94,,Premium,13,$10854.16,$215246.05
Corporate,Pierette Kenney,Wikido,pkenneyh8@wikia.com,616-890-5681,289,76,1,783,13,242,,Excelium,10,$15334.68,$318626.82
Corporate,Lee Calrow,Twimm,lcalrowh9@arstechnica.com,109-117-0717,51,46,9,115,15,53,,Standard,30,$15162.95,$391696.38
Corporate,Gawain Mainwaring,Brainbox,gmainwaringhf@marketwatch.com,169-650-0378,217,14,7,120,13,279,,Premium,28,$13521.36,$1083039.20
Corporate,Major Cary,Oyoba,mcaryhm@squarespace.com,402-915-5998,56,77,10,962,13,134,,Excelium,7,$11629.38,$399071.67
Corporate,Debee Ransley,Vitz,dransleyhr@livejournal.com,200-812-9994,102,39,1,285,18,105,,Premium,4,$17692.64,$1248966.36
Corporate,Gianina Marston,Twitterbeat,gmarstonhz@list-manage.com,853-840-0139,181,46,3,67,8,89,,Standard,16,$12394.44,$1988866.50
Corporate,Diena Truswell,Voonyx,dtruswelli3@army.mil,918-812-6897,344,23,10,1000,9,215,,Standard,10,$8144.79,$1882294.64
Corporate,Elora Capsey,Skalith,ecapseyi6@imdb.com,260-711-0941,288,19,7,849,6,135,,Premium,6,$16530.41,$1924316.36
Corporate,Brandi Biglin,Dabshots,bbiglini7@marriott.com,684-526-3795,277,10,10,164,15,268,,Premium,15,$16016.84,$1338574.07
Corporate,Rosina Bilton,DabZ,rbiltonib@discuz.net,790-811-6480,340,43,3,789,20,179,,Premium,24,$7179.79,$360484.45
Corporate,Sharia Trump,Eidel,strumpic@mapy.cz,593-413-5201,69,69,3,794,20,263,,Premium,28,$12473.92,$2258114.21
Corporate,Irving Matushenko,Twitterlist,imatushenkoif@globo.com,885-233-0264,136,15,7,138,18,41,,Premium,2,$8717.74,$1179404.86
Corporate,Liane Burdikin,Babbleset,lburdikinij@tuttocitta.it,991-429-7750,381,99,6,992,5,261,,Excelium,6,$14854.58,$1402356.42
Corporate,Mylo Catlin,Eare,mcatlinim@alexa.com,759-609-4978,58,82,10,62,14,212,,Premium,14,$9687.10,$2051167.33
Corporate,Lilllie Goodbody,Topiclounge,lgoodbodyip@walmart.com,231-166-4371,57,71,4,425,20,264,,Premium,2,$12656.71,$2093227.01
Corporate,Marney Wilds,Shuffledrive,mwildsje@nasa.gov,343-741-9296,327,80,4,369,11,128,,Excelium,10,$17295.69,$846829.57
Corporate,Danyette Hatton,Wordtune,dhattonjf@woothemes.com,786-910-6286,353,23,9,236,19,216,,Excelium,3,$17793.01,$771999.33
Corporate,Chiquita Bleakman,Vimbo,cbleakmanjl@zdnet.com,226-815-1823,258,62,5,684,17,300,,Standard,6,$7863.88,$1271251.84
